iter	RMSE
0	0.459960041
1	0.4597661751
2	0.4595903846
3	0.4595819124
4	0.4592715255
5	0.4590651581
6	0.4589172718
7	0.4587850797
8	0.4586571554
9	0.4584901213
10	0.4583866369
11	0.4582363321
12	0.4581105556
13	0.4579912526
14	0.4579382451
15	0.4578130239
16	0.4577348202
17	0.4575739131
18	0.4575074733
19	0.4572951764
20	0.4571969245
21	0.4570181035
22	0.456986534
23	0.4567307088
24	0.4565796852
25	0.4565222738
26	0.4564439718
27	0.4563842352
28	0.4563590655
29	0.456274474
30	0.4562230694
31	0.4562074882
32	0.4559117594
33	0.4558412032
34	0.4557687348
35	0.4557135316
36	0.4557010575
37	0.4555182712
38	0.4554779286
39	0.4553848365
40	0.4553720754
41	0.4553248654
42	0.4552444047
43	0.4552202369
44	0.4551283734
45	0.4550728657
46	0.4547858372
47	0.4547470405
48	0.4545335382
49	0.4544367651
